student_name	student_email	student_phone	course_name	course_category	instructor_name	instructor_email	instructor_phone	session_start_date	session_end_date	session_day	session_time	session_location	attendance_date	status	excuse_reason	gps_latitude	gps_longitude	gps_accuracy	gps_timestamp	host_address	notes	can_host	host_date
# EXAMPLE 1: Present student with GPS location and can host																							
John Doe	john@example.com	1234567890	Web Development	Programming	Jane Teacher	jane@example.com	9876543210	01/01/2025	31/03/2025	Monday	09:00-12:00	Main Campus	15/01/2025	present		25.2048	55.2708	10	2025-01-15T10:30:00Z	123 Main St		yes	01/02/2025
# EXAMPLE 2: Excused absence with REQUIRED excuse_reason																							
Mary Smith	mary@example.com	1234567891	Web Development	Programming	Jane Teacher	jane@example.com	9876543210	01/01/2025	31/03/2025	Monday	09:00-12:00	Main Campus	22/01/2025	excused	sick					456 Oak Ave	Medical appointment	no	
# EXAMPLE 3: Late arrival with GPS timestamp																							
Bob Johnson	bob@example.com	1234567892	Web Development	Programming	Jane Teacher	jane@example.com	9876543210	01/01/2025	31/03/2025	Monday	09:00-12:00	Main Campus	29/01/2025	late		25.205	55.271	12	2025-01-29T09:15:00Z	789 Elm St		no	
# EXAMPLE 4: Absent without GPS (unexcused)																							
Sarah Wilson	sarah@example.com	5551234567	Web Development	Programming	Jane Teacher	jane@example.com	9876543210	01/01/2025	31/03/2025	Monday	09:00-12:00	Main Campus	05/02/2025	absent							Left early without permission		
# EXAMPLE 5: Excused for family emergency (showing different excuse reasons)																							
Tom Brown	tom@example.com	5559876543	Web Development	Programming	Jane Teacher	jane@example.com	9876543210	01/01/2025	31/03/2025	Monday	09:00-12:00	Main Campus	12/02/2025	excused	family emergency					321 Pine St	Notified in advance	yes	15/03/2025
# EXAMPLE 6: Present student can host on specific date																							
Lisa Green	lisa@example.com	5551112222	Web Development	Programming	Jane Teacher	jane@example.com	9876543210	01/01/2025	31/03/2025	Monday	09:00-12:00	Main Campus	19/02/2025	present		25.2055	55.2715	8	2025-02-19T09:05:00Z	555 Maple Dr		yes	22/03/2025
# EXAMPLE 7: Multiple courses - same student different course																							
John Doe	john@example.com	1234567890	Data Science	Analytics	Dr. Smith	drsmith@example.com	9998887777	10/01/2025	10/04/2025	Wednesday	14:00-17:00	Lab Building	17/01/2025	present		25.2049	55.2709	15	2025-01-17T14:10:00Z	123 Main St	Excellent participation	yes	
# EXAMPLE 8: Excused for work commitment																							
Ahmed Ali	ahmed@example.com	5553334444	Web Development	Programming	Jane Teacher	jane@example.com	9876543210	01/01/2025	31/03/2025	Monday	09:00-12:00	Main Campus	26/02/2025	excused	working					Downtown Office	Work schedule conflict		
# EXAMPLE 9: Excused for being abroad																							
Fatima Hassan	fatima@example.com	5556667777	Web Development	Programming	Jane Teacher	jane@example.com	9876543210	01/01/2025	31/03/2025	Monday	09:00-12:00	Main Campus	05/03/2025	excused	abroad					Traveling for family	Out of country	no	
# INSTRUCTIONS:																							
# - REQUIRED FIELDS: student_name student_email course_name instructor_name instructor_email session_start_date session_end_date attendance_date status																							
# - excuse_reason is MANDATORY when status=excused (valid: sick abroad working family emergency other)																							
# - status options: present absent late excused																							
# - Dates format: YYYY-MM-DD (e.g. 2025-01-15)																							
# - can_host: yes/no/true/false/1/0																							
# - host_date: Only when can_host=yes (format YYYY-MM-DD)																							
